seed.1,name.1,link.1,seed.2,name.2,link.2,round,year,region,win_pct.1,srs.1,sos.1,win_pct_home.1,win_pct_away.1,win_pct_conf.1,pace.1,off_rtg.1,fta_per_fga_pct.1,fg3a_per_fga_pct.1,ts_pct.1,trb_pct.1,ast_pct.1,stl_pct.1,blk_pct.1,efg_pct.1,tov_pct.1,orb_pct.1,ft_rate.1,conf.1,fg_pg.1,fg_pct.1,fg2_pg.1,fg2_pct.1,fg3_pg.1,fg3_pct.1,ft_pg.1,ft_pct.1,orb_pg.1,drb_pg.1,trb_pg.1,ast_pg.1,stl_pg.1,blk_pg.1,tov_pg.1,pf_pg.1,pts_pg.1,fg_pg_opp.1,fg_pct_opp.1,fg2_pg_opp.1,fg2_pct_opp.1,fg3_pg_opp.1,fg3_pct_opp.1,ft_pg_opp.1,ft_pct_opp.1,orb_pg_opp.1,drb_pg_opp.1,trb_pg_opp.1,ast_pg_opp.1,stl_pg_opp.1,blk_pg_opp.1,tov_pg_opp.1,pf_pg_opp.1,pts_pg_opp.1,mp_bench_pct.1,pts_bench_pct.1,height_avg.1,height_max.1,exp_avg.1,rsci_pct.1,min_return.1,pts_return.1,win_pct.2,srs.2,sos.2,win_pct_home.2,win_pct_away.2,win_pct_conf.2,pace.2,off_rtg.2,fta_per_fga_pct.2,fg3a_per_fga_pct.2,ts_pct.2,trb_pct.2,ast_pct.2,stl_pct.2,blk_pct.2,efg_pct.2,tov_pct.2,orb_pct.2,ft_rate.2,conf.2,fg_pg.2,fg_pct.2,fg2_pg.2,fg2_pct.2,fg3_pg.2,fg3_pct.2,ft_pg.2,ft_pct.2,orb_pg.2,drb_pg.2,trb_pg.2,ast_pg.2,stl_pg.2,blk_pg.2,tov_pg.2,pf_pg.2,pts_pg.2,fg_pg_opp.2,fg_pct_opp.2,fg2_pg_opp.2,fg2_pct_opp.2,fg3_pg_opp.2,fg3_pct_opp.2,ft_pg_opp.2,ft_pct_opp.2,orb_pg_opp.2,drb_pg_opp.2,trb_pg_opp.2,ast_pg_opp.2,stl_pg_opp.2,blk_pg_opp.2,tov_pg_opp.2,pf_pg_opp.2,pts_pg_opp.2,mp_bench_pct.2,pts_bench_pct.2,height_avg.2,height_max.2,exp_avg.2,rsci_pct.2,min_return.2,pts_return.2
16,Lehigh,/cbb/schools/lehigh/men/2026.html,16,Prairie View,/cbb/schools/prairie-view/men/2026.html,0,2026,South,0.529,-9.32,-7.03,0.7647058823529411,0.26666666666666666,0.6111111111111112,67.1,105.7,0.323,0.389,0.565,47.1,55,9.7,8.2,0.534,15.8,23.6,0.236,patriot,26.1,.464,18.2,.531,7.9,.359,13.3,.731,7.7,24.2,31.9,14.3,6.7,3.3,12.1,16.0,73.2,26.7,.446,20.4,.503,6.3,.326,14.3,.753,10.9,24.9,35.8,12.0,8.2,2.7,11.3,17.1,74.0,0.4153145459721036,0.3080321285140562,77.16666666666667,81,2.1666666666666665,0,54.5,51.2,0.514,-12.71,-9.91,0.7692307692307693,0.1875,0.5,73.8,106.4,0.43,0.307,0.545,47.4,44.8,10.7,12.1,0.495,14.1,28,0.324,swac,26.6,.443,20.5,.492,6.2,.334,19.5,.753,10.1,23.9,34.0,11.9,7.9,4.7,11.9,19.1,78.9,25.8,.437,18.9,.491,6.8,.335,17.7,.721,11.9,25.8,37.7,12.4,6.5,3.2,15.3,20.6,76.1,0.30259037859379445,0.25679101774719304,76.66666666666667,80,3.8333333333333335,0,16,14.8
11,NC State,/cbb/schools/north-carolina-state/men/2026.html,11,Texas,/cbb/schools/texas/men/2026.html,0,2026,West,0.606,18.03,10.85,0.6470588235294118,0.6,0.5555555555555556,69.5,119,0.352,0.439,0.59,49.3,54.8,11.5,10.6,0.553,11.5,28.5,0.27,acc,28.5,.468,18.1,.531,10.4,.388,16.4,.768,9.8,24.7,34.5,15.6,8.1,3.4,9.2,18.2,83.7,26.2,.450,16.8,.527,9.4,.356,14.8,.698,10.7,24.8,35.5,12.9,5.2,3.2,12.8,17.0,76.5,0.3165068903535051,0.2389572773352643,77.5,80,3.1666666666666665,0.6666666666666666,3.4,4.8,0.563,16.18,10.31,0.7058823529411765,0.4,0.5,69.2,120.1,0.453,0.36,0.593,55.4,43.5,8.2,7.6,0.55,13.5,36.3,0.34,sec,28.3,.486,20.9,.561,7.4,.353,19.8,.752,12.0,25.7,37.7,12.3,5.8,2.9,11.0,18.8,83.8,26.2,.449,19.2,.494,7.0,.360,17.5,.737,9.2,21.1,30.3,11.9,6.7,3.8,9.4,21.3,76.8,0.3233607192683305,0.21074226035061544,78.16666666666667,84,3.1666666666666665,0.5,31.1,31.1
16,Howard,/cbb/schools/howard/men/2026.html,16,UMBC,/cbb/schools/maryland-baltimore-county/men/2026.html,0,2026,Midwest,0.697,-4.62,-11.83,0.7333333333333333,0.5384615384615384,0.7857142857142857,69.9,110.4,0.45,0.34,0.562,53.6,62.2,12.3,10.1,0.517,16.4,37.2,0.329,meac,26.1,.459,19.4,.517,6.7,.345,18.7,.731,12.4,24.2,36.6,16.2,8.7,3.7,13.5,19.2,77.5,23.1,.418,17.4,.481,5.7,.299,15.9,.706,10.7,20.9,31.7,10.5,6.0,3.9,15.1,19.9,67.8,0.32406707961927783,0.25860719874804383,76.16666666666667,79,3.1666666666666665,0,7.4,6.4,0.75,-4.39,-11.86,0.8823529411764706,0.6,0.875,66.9,113,0.329,0.392,0.577,51.8,45.2,7.5,6.8,0.542,12.7,25.6,0.251,america-east,26.9,.471,18.8,.542,8.1,.361,14.3,.762,8.2,27.3,35.5,12.2,5.0,2.6,9.6,13.3,76.2,25.2,.424,18.4,.490,6.8,.310,9.8,.675,9.2,23.9,33.1,10.4,5.4,2.3,10.3,15.3,67.0,0.31700511548597116,0.27060270602706027,77.33333333333333,82,3.1666666666666665,0,35.1,31.1
11,SMU,/cbb/schools/southern-methodist/men/2026.html,11,Miami OH,/cbb/schools/miami-oh/men/2026.html,0,2026,Midwest,0.606,17.29,10.69,0.8333333333333334,0.2727272727272727,0.4444444444444444,70.7,118.2,0.306,0.36,0.586,52.5,55.1,10,11.2,0.557,13.6,35.4,0.227,acc,30.8,.490,22.3,.555,8.5,.374,14.2,.741,12.3,25.4,37.7,16.9,7.1,3.7,11.3,16.9,84.2,26.8,.434,16.9,.520,9.8,.339,14.2,.718,11.7,22.4,34.1,16.2,6.7,3.1,12.2,17.2,77.6,0.24714371617558628,0.17992083483267363,78.33333333333333,86,3,0.16666666666666666,37.6,37,0.969,5.38,-5.48,1,1,1,72.1,123.9,0.396,0.447,0.64,51.4,51.5,10.2,8.6,0.612,12.9,26.4,0.296,mac,31.3,.524,20.8,.632,10.4,.392,17.7,.749,8.3,27.2,35.5,16.1,7.4,3.3,10.5,16.1,90.7,27.2,.436,19.6,.502,7.6,.325,13.4,.738,10.4,23.1,33.5,12.7,6.2,2.4,12.9,19.5,75.3,0.31220187721187875,0.33218470020675395,78.33333333333333,81,3,0,66.2,66.4
1,Duke,/cbb/schools/duke/men/2026.html,16,Siena,/cbb/schools/siena/men/2026.html,1,2026,East,0.941,31.57,12.43,1,0.9090909090909091,0.9444444444444444,67.1,122.6,0.378,0.444,0.597,57.8,59.2,11.6,10.4,0.568,13.3,38.1,0.273,acc,28.6,.490,19.5,.601,9.1,.351,16.0,.724,12.5,27.8,40.3,16.9,7.8,3.3,10.5,15.7,82.3,22.6,.392,14.6,.466,8.0,.304,9.8,.717,9.2,20.3,29.4,11.6,6.3,3.0,12.2,18.1,63.1,0.35661764705882354,0.28984989278055756,79.16666666666667,83,1.6666666666666667,1,24.5,20.4,0.676,-4.33,-9.18,0.6923076923076923,0.5625,0.65,64.3,109.3,0.342,0.319,0.548,52.1,53,9,9.1,0.506,13.8,31.9,0.263,maac,25.3,.457,19.9,.528,5.4,.304,14.6,.769,10.2,24.2,34.4,13.4,5.8,3.1,10.3,13.7,70.5,23.7,.422,16.4,.482,7.2,.328,11.1,.725,9.9,21.7,31.6,11.4,6.6,3.6,11.0,16.6,65.7,0.25772893772893773,0.19057547956630524,75.83333333333333,79,2.6666666666666665,0,63.7,68.1
8,Ohio State,/cbb/schools/ohio-state/men/2026.html,9,TCU,/cbb/schools/texas-christian/men/2026.html,1,2026,East,0.636,19.1,12.1,0.8235294117647058,0.45454545454545453,0.6,66.5,118.6,0.378,0.401,0.603,51.6,52,7.2,7,0.565,13.6,30.8,0.293,big-ten,27.6,.493,19.5,.582,8.1,.360,16.4,.775,9.3,23.9,33.2,14.4,4.9,2.4,10.4,17.7,79.8,25.2,.439,17.9,.523,7.3,.316,15.0,.743,10.2,20.9,31.2,13.5,5.5,3.0,10.6,18.9,72.8,0.26895415043452203,0.15571591340676036,77.5,84,2.8333333333333335,0.8333333333333334,49.2,58.1,0.667,15.77,9.53,0.7368421052631579,0.5,0.6111111111111112,69.7,111.1,0.387,0.369,0.546,51.9,57.6,10.9,12.6,0.509,13.2,34.4,0.274,big-12,27.2,.448,19.8,.516,7.4,.331,16.6,.708,12.4,23.8,36.2,15.6,7.7,4.5,10.9,16.3,78.3,25.9,.446,18.5,.513,7.5,.337,12.7,.719,9.8,23.7,33.5,15.8,6.2,3.8,13.8,19.0,72.1,0.30766926303175557,0.34829721362229105,77,80,2.8333333333333335,0.16666666666666666,28.4,26.9
5,St. John’s,/cbb/schools/st-johns-ny/men/2026.html,12,Northern Iowa,/cbb/schools/northern-iowa/men/2026.html,1,2026,East,0.824,22.43,10.84,0.8823529411764706,0.9,0.9,71,114.5,0.419,0.338,0.552,52.9,58.2,11.1,12.4,0.51,12.4,35.9,0.305,big-east,27.9,.454,21.0,.516,6.9,.332,18.8,.727,13.1,25.6,38.6,16.3,7.9,4.9,10.5,17.3,81.6,25.1,.421,18.8,.475,6.3,.313,13.6,.717,11.1,23.3,34.4,11.8,6.2,3.9,13.8,20.3,70.0,0.3221978021978022,0.3011179228272629,78.16666666666667,81,3.3333333333333335,0.8333333333333334,24.2,23.8,0.657,8.52,1.52,0.7058823529411765,0.5,0.55,63.7,109.1,0.256,0.399,0.568,49.2,57.4,10.1,9.9,0.548,13.2,22.1,0.179,mvc,26.2,.477,18.4,.558,7.8,.355,9.8,.699,6.9,25.1,31.9,15.0,6.5,3.1,9.3,15.3,69.9,21.9,.407,15.5,.493,6.4,.285,11.1,.719,8.9,24.2,33.0,10.8,5.8,2.6,11.9,14.5,61.3,0.2848631011490992,0.255006129955047,77.33333333333333,80,3.5,0.16666666666666666,68.6,59.6
4,Kansas,/cbb/schools/kansas/men/2026.html,13,CA Baptist,/cbb/schools/california-baptist/men/2026.html,1,2026,East,0.697,21.11,14.87,0.875,0.45454545454545453,0.6666666666666666,68.2,110,0.326,0.357,0.555,51.5,53.3,8,15.6,0.516,13.5,29.5,0.25,big-12,26.8,.453,19.4,.511,7.4,.350,14.8,.767,10.1,28.7,38.8,14.3,5.5,5.7,10.7,14.4,75.6,24.5,.388,16.4,.447,8.2,.307,12.2,.694,12.4,24.2,36.6,11.8,6.6,3.2,9.6,16.0,69.4,0.29218045112781954,0.18469551282051283,78.33333333333333,82,2.5,0.8333333333333334,8.5,8.3,0.75,2.54,-2.92,1,0.5,0.7222222222222222,67.5,107.4,0.367,0.318,0.526,55.2,40.3,8,7.5,0.487,15,38.1,0.262,wac,25.7,.433,19.4,.478,6.3,.337,15.6,.716,14.0,26.1,40.1,10.4,5.4,2.9,12.3,18.7,73.3,23.6,.416,18.2,.473,5.4,.296,15.1,.723,9.8,22.8,32.6,10.8,6.8,3.9,11.6,18.3,67.8,0.345019305019305,0.28419258628035793,77,83,3.6666666666666665,0,32,41.5
6,Louisville,/cbb/schools/louisville/men/2026.html,11,South Florida,/cbb/schools/south-florida/men/2026.html,1,2026,East,0.697,23.42,10.84,0.8823529411764706,0.36363636363636365,0.6111111111111112,71,119.4,0.335,0.528,0.599,53.7,59.5,9.7,9.2,0.564,14.1,32.9,0.257,acc,28.7,.470,17.2,.597,11.5,.357,15.7,.769,11.3,27.1,38.5,17.1,6.9,3.3,11.6,18.4,84.8,25.2,.424,17.6,.486,7.6,.327,14.2,.712,10.0,23.2,33.1,12.2,6.5,3.6,11.8,17.7,72.2,0.35267383729737917,0.31520572450805007,77.83333333333333,83,3,0.3333333333333333,25.7,22.9,0.75,12.98,2.43,0.8666666666666667,0.75,0.8333333333333334,73.3,118.1,0.411,0.442,0.558,53.2,59.4,12.3,11.1,0.514,12.4,38.2,0.306,american,29.2,.441,19.4,.526,9.8,.333,20.2,.743,15.6,27.3,42.8,17.3,9.2,4.2,11.2,19.5,88.3,25.6,.415,17.3,.463,8.4,.342,16.5,.703,12.5,25.1,37.6,13.2,6.3,4.7,14.3,19.8,76.2,0.29926448053938093,0.22194690265486725,77.33333333333333,82,3.5,0,15.8,15
3,Michigan State,/cbb/schools/michigan-state/men/2026.html,14,NDSU,/cbb/schools/north-dakota-state/men/2026.html,1,2026,East,0.781,23.46,12.92,0.8823529411764706,0.6,0.75,66.8,117.3,0.362,0.364,0.575,58.5,67,7.6,13.3,0.536,14.4,38.5,0.276,big-ten,27.6,.471,19.9,.534,7.7,.359,16.2,.763,12.7,27.1,39.8,18.5,5.1,4.1,11.5,16.3,78.9,23.3,.410,14.7,.480,8.6,.329,13.2,.751,7.9,20.3,28.3,13.2,6.5,3.0,9.9,18.7,68.4,0.3249612403100775,0.2838479809976247,78.66666666666667,83,2.8333333333333335,0.8333333333333334,41.7,36.5,0.794,2.51,-5.78,0.9285714285714286,0.6666666666666666,0.875,68.5,116.1,0.308,0.419,0.573,53.5,53.9,12,9,0.545,13.2,33.3,0.223,summit,28.8,.468,19.4,.542,9.4,.365,13.7,.725,11.6,24.8,36.4,15.5,8.3,2.9,10.8,14.7,80.7,24.8,.438,16.4,.519,8.4,.335,11.7,.741,8.4,23.3,31.6,13.4,6.5,3.0,13.7,16.0,69.6,0.3228517606144037,0.3132969034608379,76.83333333333333,82,3,0,20.1,14.2
7,UCLA,/cbb/schools/ucla/men/2026.html,10,UCF,/cbb/schools/central-florida/men/2026.html,1,2026,East,0.676,18.28,11.55,0.9444444444444444,0.4,0.65,65.7,117,0.331,0.359,0.576,49.6,59.4,9.9,9.4,0.539,11.6,31.1,0.254,big-ten,27.5,.471,19.5,.520,8.0,.382,14.8,.767,10.0,22.3,32.3,16.3,6.6,2.9,8.9,17.1,77.7,24.2,.433,16.3,.527,7.9,.318,14.6,.753,10.7,22.1,32.8,15.4,4.8,3.0,12.0,17.7,71.0,0.3253344968004654,0.218690881573969,78.16666666666667,83,3.3333333333333335,0.6666666666666666,43,48.8,0.656,13.32,10.82,0.7222222222222222,0.5,0.5,70.6,113.7,0.308,0.344,0.56,52.6,53.6,7.9,8.3,0.528,13.4,34.4,0.228,big-12,29.4,.466,21.5,.521,7.8,.362,14.4,.740,12.4,24.8,37.2,15.8,5.7,3.0,11.2,17.5,81.0,27.3,.456,19.3,.532,8.1,.340,15.7,.743,9.9,23.6,33.5,14.0,5.9,3.7,11.3,17.3,78.5,0.33891472868217054,0.2890775762253956,79,86,3.3333333333333335,0.5,NA,NA
2,Uconn,/cbb/schools/connecticut/men/2026.html,15,Furman,/cbb/schools/furman/men/2026.html,1,2026,East,0.853,22.93,10.55,0.8823529411764706,0.8181818181818182,0.85,66,116.5,0.3,0.403,0.578,54.2,65,10.3,15.2,0.553,14.3,35.7,0.215,big-east,28.3,.482,20.0,.571,8.3,.352,12.6,.716,11.6,24.9,36.6,18.4,6.9,5.3,11.2,18.0,77.5,21.8,.402,15.8,.458,5.9,.303,15.6,.719,10.0,20.9,30.9,10.6,5.9,3.4,12.0,17.2,65.1,0.32909913856037376,0.2535104364326376,79.5,85,2.6666666666666665,0.8333333333333334,56.2,58.6,0.647,-3.22,-6.12,0.6875,0.5833333333333334,0.5555555555555556,66.7,113.4,0.317,0.47,0.575,54.2,57,7.1,9.6,0.553,15.2,32.7,0.219,southern,27.5,.476,18.6,.608,8.9,.327,12.6,.690,10.9,27.1,38.0,15.6,4.8,3.3,11.9,15.1,76.5,25.3,.425,17.1,.499,8.1,.324,11.8,.702,9.7,22.4,32.1,11.9,7.6,3.0,9.6,17.0,70.5,0.3528214077952298,0.31961538461538463,80.16666666666667,83,3,0,55.1,46.4
1,Florida,/cbb/schools/florida/men/2026.html,16,NA,NA,1,2026,South,0.788,27.92,13.14,0.9333333333333333,0.8,0.8888888888888888,72.5,119.8,0.391,0.371,0.568,59.5,54,9.2,12.4,0.535,13.5,43.2,0.277,sec,30.8,.478,23.4,.579,7.4,.308,17.8,.710,16.1,29.3,45.4,16.6,6.7,5.1,11.9,17.8,86.8,25.1,.408,18.4,.452,6.7,.324,15.2,.727,9.7,21.2,30.9,11.2,6.6,2.9,11.2,19.8,72.0,0.27796301909669596,0.24720670391061453,78.16666666666667,83,2.8333333333333335,0.16666666666666666,40.2,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Clemson,/cbb/schools/clemson/men/2026.html,9,Iowa,/cbb/schools/iowa/men/2026.html,1,2026,South,0.706,17,9.59,0.8125,0.5454545454545454,0.6666666666666666,65.5,112.4,0.371,0.429,0.562,51.4,50.2,9.6,9.1,0.526,12.5,28.1,0.27,acc,25.4,.453,17.2,.538,8.2,.341,15.1,.726,9.3,25.0,34.3,12.8,6.3,2.8,9.4,16.0,74.1,22.8,.419,15.2,.490,7.6,.326,13.5,.747,8.6,23.8,32.4,10.6,5.6,3.3,11.5,18.2,66.7,0.3887591240875912,0.40063466878222925,77.41666666666667,83,3.5,0.16666666666666666,9.8,6.3,0.636,19,9.75,0.8235294117647058,0.2727272727272727,0.5,63.4,118.2,0.345,0.416,0.6,50.8,58,11.2,6.7,0.566,13.4,30.1,0.266,big-ten,26.5,.491,18.5,.587,8.0,.357,14.3,.770,8.8,20.6,29.4,15.3,7.1,2.0,9.7,17.6,75.2,22.7,.461,16.2,.540,6.5,.337,14.1,.731,8.0,20.5,28.5,11.6,5.1,2.6,13.4,17.5,66.0,0.32714371980676327,0.30620467365028203,78.83333333333333,81,3.1666666666666665,0.16666666666666666,2.4,2.1
5,Vanderbilt,/cbb/schools/vanderbilt/men/2026.html,12,McNeese,/cbb/schools/mcneese-state/men/2026.html,1,2026,South,0.788,23.18,11.36,0.8125,0.6666666666666666,0.6111111111111112,70.8,121.5,0.387,0.438,0.599,50.3,56.2,11.5,12.9,0.556,11.7,31.4,0.305,sec,29.3,.478,19.8,.576,9.5,.354,18.7,.789,10.7,24.6,35.4,16.5,8.2,4.7,9.6,19.5,86.7,24.8,.424,17.9,.492,6.9,.312,18.3,.753,11.5,23.4,34.9,11.4,5.2,2.4,12.8,19.3,74.9,0.32285714285714284,0.25585459629500173,77.5,82,3.6666666666666665,0.3333333333333333,35.6,33.8,0.848,7.78,-2.03,1,0.6428571428571429,0.8636363636363636,67.3,117.6,0.381,0.347,0.563,51.1,50.3,15.5,15.7,0.523,11.9,36.4,0.285,southland,28.1,.468,21.5,.546,6.7,.319,17.1,.747,12.7,22.5,35.2,14.2,10.5,4.3,9.6,18.7,80.0,21.5,.407,13.3,.482,8.2,.324,15.4,.725,11.7,22.1,33.8,12.1,4.5,2.5,16.9,17.7,66.5,0.38148037159124965,0.2650511170011359,76.5,82,3.1666666666666665,0.5,30.2,32.8
4,Nebraska,/cbb/schools/nebraska/men/2026.html,13,Troy,/cbb/schools/troy/men/2026.html,1,2026,South,0.813,21.54,10.48,0.8888888888888888,0.7,0.75,67.3,114,0.272,0.507,0.581,50.2,65.6,10.7,8.7,0.554,12.8,26.3,0.204,big-ten,27.4,.465,16.8,.581,10.5,.353,12.0,.750,8.8,26.1,34.9,18.0,7.3,2.6,9.8,14.3,77.3,23.6,.404,15.0,.506,8.6,.299,10.5,.726,10.0,24.7,34.7,14.3,5.1,2.7,13.0,15.6,66.2,0.28507208184777555,0.2713303679741205,77.66666666666667,81,3.1666666666666665,0,35.1,27.4,0.667,-0.75,-4.56,0.7692307692307693,0.5625,0.6666666666666666,68.1,113.5,0.358,0.455,0.562,52.4,58.2,11.3,9.1,0.526,14.3,35.3,0.264,sun-belt,27.4,.449,18.1,.545,9.3,.335,16.1,.738,12.7,25.6,38.3,16.0,8.0,3.4,11.9,16.7,80.3,26.2,.433,19.0,.508,7.2,.313,13.4,.700,11.5,23.3,34.8,13.0,6.9,3.7,12.7,16.9,73.1,0.281500949043656,0.23895809739524349,78.16666666666667,81,3.3333333333333335,0,44.6,39.9
